indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
Food consumption share,0.45000000000000001,0.33000000000000002,0.44,0.5,0.41999999999999998,0.46000000000000002,0.45000000000000001,0.45000000000000001,0.53000000000000003,0.47999999999999998,0.45000000000000001,0.41999999999999998,0.35000000000000003
HE age (years),8.8900000000000006,10.9,8.4299999999999997,8.3399999999999999,10.040000000000001,8.5,8.1699999999999999,8.9500000000000011,8.3000000000000007,9.3800000000000008,10.15,8.1999999999999993,9
HE buys from firms/state,0.19,0.23000000000000001,0.17000000000000001,0.17999999999999999,0.23000000000000001,0.17000000000000001,0.14999999999999999,0.19,0.17000000000000001,0.22,0.26000000000000001,0.14000000000000001,0.17000000000000001
HE capital stock (FCFA),1010042.65,3072975.7200000002,1569560.78,191239.54000000001,3492528.77,167585.73000000001,193188.94,1075901.2,91650.150000000009,91825.869999999995,597800.18000000005,1042033.5700000001,3857154.6299999999
HE costs (FCFA),58091.620000000003,100619.09,62532.760000000002,42620.160000000003,98348.369999999995,44086.529999999999,37971.760000000002,59243.370000000003,26026.23,44312.599999999999,86966.610000000001,49791.720000000001,97752.960000000006
HE has any credit access,0.34000000000000002,0.14000000000000001,0.42999999999999999,0.37,0.41000000000000003,0.31,0.37,0.33000000000000002,0.44,0.31,0.35000000000000003,0.17999999999999999,0.44
HE has electricity,0.80000000000000004,0.62,1,0.95000000000000007,0.97999999999999998,0.72999999999999998,1,0.80000000000000004,1,0.97999999999999998,1,0.62,0.91000000000000003
HE has external (non-HH) employees,0.95999999999999996,0.90000000000000002,0.97999999999999998,0.96999999999999997,0.93000000000000005,0.96999999999999997,0.97999999999999998,0.95999999999999996,0.93000000000000005,0.97999999999999998,0.96999999999999997,0.95999999999999996,0.95999999999999996
HE has formal credit access,0.10000000000000001,0,0.10000000000000001,0.13,0.11,0.089999999999999997,0.12,0.10000000000000001,0.16,0.059999999999999998,0.17000000000000001,0.059999999999999998,0.059999999999999998
HE has formal premises,0.27000000000000002,0.62,0.23000000000000001,0.17000000000000001,0.29999999999999999,0.26000000000000001,0.040000000000000001,0.28999999999999998,0.17999999999999999,0.12,0.20000000000000001,0.52000000000000002,0.27000000000000002
HE has informal credit access,0.25,0.14000000000000001,0.34000000000000002,0.26000000000000001,0.32000000000000001,0.23000000000000001,0.25,0.26000000000000001,0.33000000000000002,0.26000000000000001,0.20000000000000001,0.12,0.38
HE has phone,0.98999999999999999,1,1,0.98999999999999999,1,0.98999999999999999,0.96999999999999997,1,1,1,0.95999999999999996,1,1
HE has tax ID,0.070000000000000007,0.02,0.14000000000000001,0.080000000000000002,0.14000000000000001,0.050000000000000003,0.19,0.070000000000000007,0.080000000000000002,0.02,0.089999999999999997,0.089999999999999997,0.10000000000000001
HE has water,0.26000000000000001,0.33000000000000002,0.41000000000000003,0.11,0.41000000000000003,0.20000000000000001,0,0.26000000000000001,0.089999999999999997,0.17000000000000001,0.28999999999999998,0.17000000000000001,0.70999999999999996
HE keeps accounts,0.040000000000000001,0.01,0.040000000000000001,0.050000000000000003,0.11,0.01,0.13,0.029999999999999999,0.029999999999999999,0.02,0.080000000000000002,0.059999999999999998,0.02
HE operates from home,0.35999999999999999,0.17999999999999999,0.41000000000000003,0.41000000000000003,0.28000000000000003,0.39000000000000001,0.5,0.35000000000000003,0.34000000000000002,0.37,0.52000000000000002,0.32000000000000001,0.33000000000000002
HE pays rent,0.80000000000000004,0.72999999999999998,0.92000000000000004,0.82000000000000006,1,0.71999999999999997,0.66000000000000003,0.80000000000000004,0.87,0.68000000000000005,0.85999999999999999,0.73999999999999999,0.95999999999999996
HE profits (FCFA),51763.779999999999,128498.37000000001,56299.239999999998,24910.34,102115.08,34246.860000000001,31990.02,52895.720000000001,22519.310000000001,40606.200000000004,31842.690000000002,39418.059999999998,131278.53
HE revenue per worker (FCFA),552889.91000000003,313096.07000000001,347804.79999999999,746170.91000000003,445852.25,609458.84999999998,2323211.3100000001,493854.83000000002,127812.85000000001,744991.42000000004,1043320.66,285362.37,1022089.35
HE sells to firms/state,0.059999999999999998,0,0.059999999999999998,0.080000000000000002,0.089999999999999997,0.050000000000000003,0.029999999999999999,0.059999999999999998,0.02,0.10000000000000001,0.10000000000000001,0.070000000000000007,0.01
HH cultivates agricultural land (superf > 0),0.41000000000000003,0.01,0.17000000000000001,0.69000000000000006,0.20000000000000001,0.47999999999999998,0.44,0.41000000000000003,0.78000000000000003,0.54000000000000004,0.38,0.23999999999999999,0.10000000000000001
HH employees in HE,0.17999999999999999,0.27000000000000002,0.19,0.14999999999999999,0.25,0.16,0.050000000000000003,0.19,0.28999999999999998,0.14000000000000001,0.20999999999999999,0.14000000000000001,0.13
HH has 0 HE,0.40000000000000002,0.41000000000000003,0.41000000000000003,0.39000000000000001,0.41000000000000003,0.39000000000000001,0.17000000000000001,0.41000000000000003,0.37,0.34000000000000002,0.44,0.37,0.47000000000000003
